file,price,beds,baths,sqft,yearbuilt,zip,zestimate,zlink,address,dateofsale
boston_sold_02110.csv,1,1,1.5,1226,1972,2110,724243,http://www.zillow.com/homedetails/85-E-India-Row-APT-25C-Boston-MA-02110/59175433_zpid/,"85 E India Row, APT 25C, Boston, MA 02110",12/27/12
boston_sold_02110.csv,866000,1,1.5,1135,1932,2110,827102,http://www.zillow.com/homedetails/39-Commercial-Wharf-APT-1-Boston-MA-02110/81858383_zpid/,"39 Commercial Wharf, APT 1, Boston, MA 02110",12/27/12
boston_sold_02110.csv,1,1,1.5,1212,1970,2110,673298,http://www.zillow.com/homedetails/65-E-India-Row-APT-8G-Boston-MA-02110/59175000_zpid/,"65 E India Row, APT 8G, Boston, MA 02110",12/26/12
boston_sold_02110.csv,1,2,2.5,1631,1970,2110,955506,http://www.zillow.com/homedetails/65-E-India-Row-APT-8F-Boston-MA-02110/59174999_zpid/,"65 E India Row, APT 8F, Boston, MA 02110",12/26/12
boston_sold_02110.csv,1,2,3,1632,1972,2110,993027,http://www.zillow.com/homedetails/65-E-India-Row-APT-18F-Boston-MA-02110/59175069_zpid/,"65 E India Row, APT 18F, Boston, MA 02110",12/20/12
boston_sold_02110.csv,725000,2,2,1122,1920,2110,781824,http://www.zillow.com/homedetails/45-Atlantic-Ave-UNIT-6E-Boston-MA-02110/59178270_zpid/,"45 Atlantic Ave, UNIT 6E, BOSTON, MA 02110",12/20/12
boston_sold_02110.csv,770000,2,2,1216,2006,2110,759421,http://www.zillow.com/homedetails/80-Broad-St-UNIT-602-Boston-MA-02110/81857818_zpid/,"80 Broad St, UNIT 602, Boston, MA 02110",12/18/12
boston_sold_02110.csv,750000,2,2,1282,2005,2110,749928,http://www.zillow.com/homedetails/80-Broad-St-UNIT-404-Boston-MA-02110/81857793_zpid/,"80 Broad St, UNIT 404, Boston, MA 02110",12/17/12
boston_sold_02110.csv,810000,1,1,1100,2006,2110,678327,http://www.zillow.com/homedetails/80-Broad-St-UNIT-1001-Boston-MA-02110/81857944_zpid/,"80 Broad St, UNIT 1001, Boston, MA 02110",12/12/12
boston_sold_02110.csv,1,2,2.5,1628,1972,2110,1015903,http://www.zillow.com/homedetails/65-E-India-Row-APT-32B-Boston-MA-02110/59175177_zpid/,"65 E India Row, APT 32B, Boston, MA 02110",12/12/12
boston_sold_02110.csv,1,1,1,757,1972,2110,509024,http://www.zillow.com/homedetails/65-E-India-Row-APT-32A-Boston-MA-02110/59175176_zpid/,"65 E India Row, APT 32A, Boston, MA 02110",12/12/12
boston_sold_02110.csv,1,2,1.5,1211,1972,2110,680182,http://www.zillow.com/homedetails/65-E-India-Row-APT-23G-Boston-MA-02110/59175110_zpid/,"65 E India Row, APT 23G, Boston, MA 02110", 12/3/12
boston_sold_02110.csv,970000,2,2.5,1642,1970,2110,950018,http://www.zillow.com/homedetails/65-E-India-Row-APT-21B-Boston-MA-02110/59175089_zpid/,"65 E India Row, APT 21B, Boston, MA 02110",11/30/12
boston_sold_02110.csv,535000,1,1,879,1970,2110,518370,http://www.zillow.com/homedetails/65-E-India-Row-APT-38H-Boston-MA-02110/59175231_zpid/,"65 E India Row, APT 38H, Boston, MA 02110",11/30/12
boston_sold_02110.csv,430000,1,1,760,2006,2110,458449,http://www.zillow.com/homedetails/80-Broad-St-UNIT-606-Boston-MA-02110/81857945_zpid/,"80 Broad St, UNIT 606, Boston, MA 02110",11/30/12
boston_sold_02110.csv,1230000,1,1,1204,1832,2110,1092590,http://www.zillow.com/homedetails/39-Commercial-Wharf-APT-5-Boston-MA-02110/59174548_zpid/,"39 Commercial Wharf, APT 5, Boston, MA 02110",11/30/12
boston_sold_02110.csv,1557500,2,2,1739,1987,2110,1799541,http://www.zillow.com/homedetails/10-Rowes-Wharf-APT-903-Boston-MA-02110/59163949_zpid/,"10 Rowes Wharf, APT 903, Boston, MA 02110",11/29/12
boston_sold_02110.csv,1,2,1.5,1200,1972,2110,671453,http://www.zillow.com/homedetails/85-E-India-Row-APT-23G-Boston-MA-02110/59175421_zpid/,"85 E India Row, APT 23G, Boston, MA 02110",11/28/12
boston_sold_02110.csv,405000,1,1,604,2006,2110,408596,http://www.zillow.com/homedetails/80-Broad-St-UNIT-805-Boston-MA-02110/81857330_zpid/,"80 Broad St, UNIT 805, Boston, MA 02110",11/16/12
boston_sold_02110.csv,1,2,2.5,1633,1970,2110,1044783,http://www.zillow.com/homedetails/65-E-India-Row-APT-23F-Boston-MA-02110/59175109_zpid/,"65 E India Row, APT 23F, Boston, MA 02110", 11/9/12
boston_sold_02110.csv,855675,2,2,1212,1972,2110,748329,http://www.zillow.com/homedetails/65-E-India-Row-APT-28G-Boston-MA-02110/59175150_zpid/,"65 E India Row, APT 28G, Boston, MA 02110", 11/7/12
boston_sold_02110.csv,745000,2,2,1100,2006,2110,729784,http://www.zillow.com/homedetails/80-Broad-St-UNIT-701-Boston-MA-02110/81857411_zpid/,"80 Broad St, UNIT 701, Boston, MA 02110", 11/7/12
boston_sold_02110.csv,895000,2,1.5,1368,1832,2110,959820,http://www.zillow.com/homedetails/33-Commercial-Wharf-UNIT-45-Boston-MA-02110/59174542_zpid/,"33 Commercial Wharf, UNIT 45, Boston, MA 02110", 11/2/12
boston_sold_02110.csv,400000,1,1,604,2006,2110,406932,http://www.zillow.com/homedetails/80-Broad-St-UNIT-305-Boston-MA-02110/81857792_zpid/,"80 Broad St, UNIT 305, Boston, MA 02110", 11/2/12
boston_sold_02110.csv,780000,2,2,1282,2006,2110,774875,http://www.zillow.com/homedetails/80-Broad-St-UNIT-804-Boston-MA-02110/81858813_zpid/,"80 Broad St, UNIT 804, Boston, MA 02110", 11/1/12
boston_sold_02110.csv,1675000,2,2,1044,1987,2110,898682,http://www.zillow.com/homedetails/20-Rowes-Wharf-APT-702-Boston-MA-02110/59163927_zpid/,"20 Rowes Wharf, APT 702, Boston, MA 02110",10/26/12
boston_sold_02110.csv,652500,1,1.5,1208,1972,2110,704527,http://www.zillow.com/homedetails/65-E-India-Row-APT-31G-Boston-MA-02110/59175174_zpid/,"65 E India Row, APT 31G, Boston, MA 02110",10/25/12
boston_sold_02110.csv,510000,1,1,880,1972,2110,501150,http://www.zillow.com/homedetails/85-E-India-Row-APT-7H-Boston-MA-02110/59175302_zpid/,"85 E India Row, APT 7H, Boston, MA 02110",10/19/12
boston_sold_02110.csv,1600000,2,2.5,1633,1972,2110,1032130,http://www.zillow.com/homedetails/65-E-India-Row-APT-20F-Boston-MA-02110/59175085_zpid/,"65 E India Row, APT 20F, Boston, MA 02110",10/15/12
boston_sold_02110.csv,1600000,1,1,884,1972,2110,509603,http://www.zillow.com/homedetails/65-E-India-Row-APT-20E-Boston-MA-02110/59175084_zpid/,"65 E India Row, APT 20E, Boston, MA 02110",10/15/12
boston_sold_02110.csv,1,1,1,596,2006,2110,409468,http://www.zillow.com/homedetails/80-Broad-St-UNIT-1009-Boston-MA-02110/81857611_zpid/,"80 Broad St, UNIT 1009, Boston, MA 02110", 10/3/12
boston_sold_02110.csv,649000,1,1,850,1868,2110,613844,http://www.zillow.com/homedetails/28-32-Atlantic-Ave-UNIT-515-Boston-MA-02110/59174309_zpid/,"28-32 Atlantic Ave, UNIT 515, BOSTON, MA 02110", 10/1/12
boston_sold_02110.csv,1163000,2,2.5,1623,1972,2110,1129785,http://www.zillow.com/homedetails/65-E-India-Row-APT-40B-Boston-MA-02110/59175241_zpid/,"65 E India Row, APT 40B, Boston, MA 02110", 10/1/12
boston_sold_02110.csv,521625,1,1,749,1972,2110,511926,http://www.zillow.com/homedetails/65-E-India-Row-APT-29D-Boston-MA-02110/59175155_zpid/,"65 E India Row, APT 29D, Boston, MA 02110", 9/28/12
boston_sold_02110.csv,640000,1,1.5,1229,1970,2110,635094,http://www.zillow.com/homedetails/65-E-India-Row-APT-37C-Boston-MA-02110/59175218_zpid/,"65 E India Row, APT 37C, Boston, MA 02110", 9/28/12
boston_sold_02110.csv,725000,1,1.5,1238,1972,2110,719456,http://www.zillow.com/homedetails/85-E-India-Row-APT-9C-Boston-MA-02110/59175313_zpid/,"85 E India Row, APT 9C, Boston, MA 02110", 9/26/12
boston_sold_02110.csv,1,2,2,1250,1850,2110,929760,http://www.zillow.com/homedetails/28-32-Atlantic-Ave-UNIT-319-Boston-MA-02110/59174265_zpid/,"28-32 Atlantic Ave, UNIT 319, BOSTON, MA 02110", 9/20/12
boston_sold_02110.csv,435000,1,1,708,2006,2110,437364,http://www.zillow.com/homedetails/80-Broad-St-UNIT-408-Boston-MA-02110/81857339_zpid/,"80 Broad St, UNIT 408, Boston, MA 02110", 9/17/12
boston_sold_02110.csv,665000,1,2,947,1910,2110,583666,http://www.zillow.com/homedetails/99-Broad-St-UNIT-7E-Boston-MA-02110/90136072_zpid/,"99 Broad St, UNIT 7E, Boston, MA 02110", 9/14/12
boston_sold_02110.csv,899000,2,1,1096,1875,2110,862867,http://www.zillow.com/homedetails/48-Commercial-Wharf-UNIT-48-Boston-MA-02110/81379843_zpid/,"48 Commercial Wharf, UNIT 48, Boston, MA 02110", 9/11/12
